target,waste
1,9
2,8
3,8
4,7
5,7
6,7
7,7
8,6
9,7
10,6
11,6
12,6
13,6
14,6
15,6
16,5
17,6
18,6
19,6
20,5
21,5
22,5
23,6
23,7
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,4
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,4
41,5
42,4
43,4
44,4
45,5
45,6
46,5
46,6
47,5
47,6
48,4
49,5
49,6
50,4
51,5
51,6
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,3
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,3
81,4
82,4
83,4
84,3
85,3
86,3
87,4
87,6
88,3
89,4
89,5
90,4
90,5
91,4
91,5
92,4
92,5
93,4
93,5
94,4
94,5
95,4
95,5
96,3
97,4
97,5
98,4
98,5
99,4
99,5
100,3
101,4
101,5
102,4
102,5
103,4
103,5
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,4
113,5
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,2
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,2
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,2
169,3
170,2
171,2
172,2
173,3
173,5
174,3
174,5
175,3
175,5
176,2
177,3
177,5
178,3
178,4
179,3
179,5
180,3
180,4
181,3
181,4
182,3
182,4
183,3
183,4
184,3
184,4
185,3
185,4
186,3
186,4
187,3
187,4
188,3
188,4
189,3
189,4
190,3
190,4
191,3
191,4
192,2
193,3
193,4
194,3
194,4
195,3
195,4
196,3
196,4
197,3
197,4
198,3
198,4
199,3
199,4
200,2
201,3
201,4
202,3
202,4
203,3
203,4
204,3
204,4
205,3
205,5
206,3
206,4
207,3
207,5
208,2
209,3
209,5
210,2
211,3
211,5
212,2
213,2
214,2
215,2
216,2
217,3
217,5
218,2
219,3
219,5
220,2
221,2
222,2
223,3
223,4
224,2
225,2
226,3
226,4
227,2
228,2
229,3
229,4
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,3
241,4
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,1
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,3
271,3
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,3
283,3
284,2
285,2
286,3
286,3
287,2
288,2
289,3
289,3
290,2
291,2
292,2
293,3
293,4
294,2
295,3
295,4
296,2
297,2
298,2
299,2
300,2
301,3
301,4
302,2
303,3
303,4
304,2
305,3
305,4
306,3
306,3
307,3
307,4
308,3
308,3
309,3
309,3
310,3
310,3
311,3
311,3
312,2
313,3
313,3
314,3
314,3
315,3
315,3
316,3
316,3
317,3
317,3
318,3
318,3
319,3
319,3
320,1
321,3
321,3
322,3
322,3
323,3
323,3
324,3
324,3
325,3
325,3
326,3
326,3
327,3
327,3
328,3
328,3
329,3
329,3
330,3
330,3
331,3
331,3
332,3
332,3
333,3
333,4
334,3
334,3
335,3
335,4
336,1
337,3
337,4
338,3
338,4
339,3
339,4
340,1
341,1
342,1
343,3
343,5
344,1
345,3
345,4
346,3
346,4
347,3
347,4
348,3
348,4
349,3
349,4
350,3
350,4
351,3
351,4
352,1
353,3
353,4
354,3
354,4
355,3
355,4
356,3
356,3
357,3
357,4
358,3
358,4
359,3
359,4
360,3
360,3
361,3
361,3
362,3
362,3
363,3
363,3
364,3
364,3
365,3
365,3
366,3
366,3
367,3
367,3
368,3
368,3
369,3
369,4
370,3
370,3
371,3
371,3
372,3
372,3
373,3
373,3
374,3
374,3
375,3
375,3
376,3
376,3
377,3
377,3
378,3
378,3
379,3
379,3
380,3
380,3
381,3
381,3
382,3
382,3
383,3
383,3
384,1
385,3
385,3
386,3
386,3
387,3
387,3
388,3
388,3
389,3
389,3
390,3
390,3
391,3
391,3
392,3
392,3
393,3
393,3
394,3
394,3
395,3
395,3
396,3
396,3
397,3
397,3
398,3
398,3
399,3
399,4
400,2
401,3
401,3
402,3
402,3
403,3
403,3
404,3
404,3
405,3
405,3
406,3
406,3
407,3
407,3
408,3
408,3
409,3
409,4
410,3
410,4
411,3
411,4
412,3
412,3
413,3
413,4
414,3
414,4
415,3
415,4
416,2
417,3
417,4
418,3
418,4
419,3
419,4
420,2
421,3
421,4
422,3
422,4
423,3
423,4
424,2
425,2
426,2
427,2
428,2
429,3
429,4
430,2
431,3
431,4
432,2
433,3
433,4
434,3
434,4
435,3
435,4
436,2
437,3
437,4
438,3
438,4
439,3
439,4
440,2
441,2
442,2
443,3
443,4
444,2
445,2
446,3
446,3
447,2
448,2
449,3
449,3
450,2
451,2
452,3
452,3
453,3
453,3
454,2
455,3
455,3
456,2
457,3
457,3
458,3
458,3
459,3
459,3
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,3
482,3
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,0
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,3
542,3
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,3
565,3
566,3
566,3
567,3
567,3
568,2
569,3
569,3
570,2
571,3
571,3
572,3
572,3
573,2
574,2
575,3
575,3
576,2
577,2
578,3
578,3
579,2
580,2
581,3
581,4
582,2
583,2
584,2
585,3
585,4
586,3
586,4
587,3
587,4
588,2
589,3
589,4
590,3
590,4
591,3
591,4
592,2
593,3
593,4
594,2
595,3
595,4
596,2
597,2
598,2
599,2
600,2
601,3
601,4
602,3
602,4
603,3
603,4
604,2
605,3
605,4
606,3
606,4
607,3
607,4
608,2
609,3
609,4
610,3
610,4
611,3
611,4
612,3
612,3
613,3
613,4
614,3
614,4
615,3
615,4
616,3
616,3
617,3
617,3
618,3
618,3
619,3
619,3
620,3
620,3
621,3
621,3
622,3
622,3
623,3
623,3
624,2
625,3
625,4
626,3
626,3
627,3
627,3
628,3
628,3
629,3
629,3
630,3
630,3
631,3
631,3
632,3
632,3
633,3
633,3
634,3
634,3
635,3
635,3
636,3
636,3
637,3
637,3
638,3
638,3
639,3
639,3
640,1
641,3
641,3
642,3
642,3
643,3
643,3
644,3
644,3
645,3
645,3
646,3
646,3
647,3
647,3
648,3
648,3
649,3
649,3
650,3
650,3
651,3
651,3
652,3
652,3
653,3
653,3
654,3
654,3
655,3
655,4
656,3
656,3
657,3
657,3
658,3
658,3
659,3
659,3
660,3
660,3
661,3
661,3
662,3
662,3
663,3
663,3
664,3
664,3
665,3
665,4
666,3
666,4
667,3
667,4
668,3
668,3
669,3
669,4
670,3
670,4
671,3
671,4
672,1
673,3
673,4
674,3
674,4
675,3
675,4
676,3
676,4
677,3
677,4
678,3
678,4
679,3
679,4
680,1
681,3
681,5
682,1
683,1
684,1
685,3
685,4
686,3
686,4
687,3
687,4
688,1
689,3
689,4
690,3
690,3
691,3
691,4
692,3
692,3
693,3
693,3
694,3
694,3
695,3
695,3
696,3
696,3
697,3
697,3
698,3
698,3
699,3
699,3
700,3
700,3
701,3
701,3
702,3
702,3
703,3
703,3
704,1
705,3
705,3
706,3
706,3
707,3
707,3
708,3
708,3
709,3
709,3
710,3
710,3
711,3
711,3
712,2
713,3
713,3
714,3
714,3
715,3
715,3
716,3
716,3
717,3
717,4
718,3
718,3
719,3
719,4
720,2
721,3
721,4
722,2
723,3
723,4
724,2
725,2
726,2
727,2
728,2
729,3
729,4
730,2
731,3
731,4
732,2
733,2
734,2
735,3
735,3
736,2
737,2
738,3
738,3
739,2
740,2
741,3
741,3
742,2
743,2
744,2
745,2
746,2
747,2
748,2
749,2
