target,steps,waste,sample,buffer
1,10,9,1,10
2,9,8,1,9
3,10,8,1,9
4,8,7,1,8
5,10,7,1,8
6,9,7,1,8
7,10,7,1,8
8,7,6,1,7
9,10,7,1,8
10,9,6,1,7
11,10,6,1,7
12,8,6,1,7
13,10,6,1,7
14,9,6,1,7
15,10,6,1,7
16,6,5,1,6
17,10,6,1,7
18,9,6,1,7
19,10,6,1,7
20,8,5,1,6
21,10,5,1,6
22,9,5,1,6
23,10,6,1,7
23,10,7,3,6
24,7,5,1,6
25,10,5,1,6
26,9,5,1,6
27,10,5,1,6
28,8,5,1,6
29,10,5,1,6
30,9,5,1,6
31,10,5,1,6
32,5,4,1,5
33,10,5,1,6
34,9,5,1,6
35,10,5,1,6
36,8,5,1,6
37,10,5,1,6
38,9,5,1,6
39,10,5,1,6
40,7,4,1,5
41,10,5,1,6
42,9,4,1,5
43,10,4,1,5
44,8,4,1,5
45,10,5,1,6
45,10,6,3,5
46,9,5,1,6
46,9,6,3,5
47,10,5,1,6
47,10,6,3,5
48,6,4,1,5
49,10,5,1,6
49,10,6,3,5
50,9,4,1,5
51,10,5,1,6
51,10,6,3,5
52,8,4,1,5
53,10,4,1,5
54,9,4,1,5
55,10,4,1,5
56,7,4,1,5
57,10,4,1,5
58,9,4,1,5
59,10,4,1,5
60,8,4,1,5
61,10,4,1,5
62,9,4,1,5
63,10,4,1,5
64,4,3,1,4
65,10,4,1,5
66,9,4,1,5
67,10,4,1,5
68,8,4,1,5
69,10,4,1,5
70,9,4,1,5
71,10,4,1,5
72,7,4,1,5
73,10,4,1,5
74,9,4,1,5
75,10,4,1,5
76,8,4,1,5
77,10,4,1,5
78,9,4,1,5
79,10,4,1,5
80,6,3,1,4
81,10,4,1,5
82,9,4,1,5
83,10,4,1,5
84,8,3,1,4
85,10,3,1,4
86,9,3,1,4
87,10,4,1,5
87,10,6,4,4
88,7,3,1,4
89,10,4,1,5
89,10,5,3,4
90,9,4,1,5
90,9,5,3,4
91,10,4,1,5
91,10,5,3,4
92,8,4,1,5
92,8,5,3,4
93,10,4,1,5
93,10,5,3,4
94,9,4,1,5
94,9,5,3,4
95,10,4,1,5
95,10,5,3,4
96,5,3,1,4
97,10,4,1,5
97,10,5,3,4
98,9,4,1,5
98,9,5,3,4
99,10,4,1,5
99,10,5,3,4
100,8,3,1,4
101,10,4,1,5
101,10,5,3,4
102,9,4,1,5
102,9,5,3,4
103,10,4,1,5
103,10,5,3,4
104,7,3,1,4
105,10,3,1,4
106,9,3,1,4
107,10,3,1,4
108,8,3,1,4
109,10,3,1,4
110,9,3,1,4
111,10,3,1,4
112,6,3,1,4
113,10,4,1,5
113,10,5,3,4
114,9,3,1,4
115,10,3,1,4
116,8,3,1,4
117,10,3,1,4
118,9,3,1,4
119,10,3,1,4
120,7,3,1,4
121,10,3,1,4
122,9,3,1,4
123,10,3,1,4
124,8,3,1,4
125,10,3,1,4
126,9,3,1,4
127,10,3,1,4
128,3,2,1,3
129,10,3,1,4
130,9,3,1,4
131,10,3,1,4
132,8,3,1,4
133,10,3,1,4
134,9,3,1,4
135,10,3,1,4
136,7,3,1,4
137,10,3,1,4
138,9,3,1,4
139,10,3,1,4
140,8,3,1,4
141,10,3,1,4
142,9,3,1,4
143,10,3,1,4
144,6,3,1,4
145,10,3,1,4
146,9,3,1,4
147,10,3,1,4
148,8,3,1,4
149,10,3,1,4
150,9,3,1,4
151,10,3,1,4
152,7,3,1,4
153,10,3,1,4
154,9,3,1,4
155,10,3,1,4
156,8,3,1,4
157,10,3,1,4
158,9,3,1,4
159,10,3,1,4
160,5,2,1,3
161,10,3,1,4
162,9,3,1,4
163,10,3,1,4
164,8,3,1,4
165,10,3,1,4
166,9,3,1,4
167,10,3,1,4
168,7,2,1,3
169,10,3,1,4
170,9,2,1,3
171,10,2,1,3
172,8,2,1,3
173,10,3,1,4
173,10,5,4,3
174,9,3,1,4
174,9,5,4,3
175,10,3,1,4
175,10,5,4,3
176,6,2,1,3
177,10,3,1,4
177,10,5,4,3
178,9,3,1,4
178,9,4,3,3
179,10,3,1,4
179,10,5,4,3
180,8,3,1,4
180,8,4,3,3
181,10,3,1,4
181,10,4,3,3
182,9,3,1,4
182,9,4,3,3
183,10,3,1,4
183,10,4,3,3
184,7,3,1,4
184,7,4,3,3
185,10,3,1,4
185,10,4,3,3
186,9,3,1,4
186,9,4,3,3
187,10,3,1,4
187,10,4,3,3
188,8,3,1,4
188,8,4,3,3
189,10,3,1,4
189,10,4,3,3
190,9,3,1,4
190,9,4,3,3
191,10,3,1,4
191,10,4,3,3
192,4,2,1,3
193,10,3,1,4
193,10,4,3,3
194,9,3,1,4
194,9,4,3,3
195,10,3,1,4
195,10,4,3,3
196,8,3,1,4
196,8,4,3,3
197,10,3,1,4
197,10,4,3,3
198,9,3,1,4
198,9,4,3,3
199,10,3,1,4
199,10,4,3,3
200,7,2,1,3
201,10,3,1,4
201,10,4,3,3
202,9,3,1,4
202,9,4,3,3
203,10,3,1,4
203,10,4,3,3
204,8,3,1,4
204,8,4,3,3
205,10,3,1,4
205,10,5,4,3
